village,village_latitude,village_longitude,village_name_census,village_id_census,state,district,taluk,year,vyid,rf_kharif,rf_annual,rf_rabi_postsow,rf_rabi_sow,rf_summer
Kinkhed,20.64,77.4,Kinkhed,530400,Maharashtra,Akola,Murtizapur,2012,Kinkhed2012,887.478,887.7369,0.1945824,34.3047,195.9916
Kinkhed,20.64,77.4,Kinkhed,530400,Maharashtra,Akola,Murtizapur,2013,Kinkhed2013,1293.587,1326.816,31.67011,210.9345,369.5618
Kinkhed,20.64,77.4,Kinkhed,530400,Maharashtra,Akola,Murtizapur,2014,Kinkhed2014,757.3846,856.4977,92.99832,15.02312,94.75636
Shirapur,19.495,74.24,Shirapur,3226900,Maharashtra,Solapur,Mohol,2001,Shirapur2001,512.4354,514.1094,1.390072,161.9263,65.9902
Shirapur,19.495,74.24,Shirapur,3226900,Maharashtra,Solapur,Mohol,2002,Shirapur2002,407.4438,435.974,5.215278,29.98654,231.4086
Shirapur,19.495,74.24,Shirapur,3226900,Maharashtra,Solapur,Mohol,2003,Shirapur2003,344.9073,381.4944,0.0378429,26.1451,108.2934
Shirapur,19.495,74.24,Shirapur,3226900,Maharashtra,Solapur,Mohol,2004,Shirapur2004,673.8956,777.415,0,101.2575,240.3452
Shirapur,19.495,74.24,Shirapur,3226900,Maharashtra,Solapur,Mohol,2005,Shirapur2005,2000.587,2012.613,4.029066,24.98758,562.4757
Shirapur,19.495,74.24,Shirapur,3226900,Maharashtra,Solapur,Mohol,2006,Shirapur2006,779.9639,800.0778,1.657645,45.43668,188.1749
Shirapur,19.495,74.24,Shirapur,3226900,Maharashtra,Solapur,Mohol,2007,Shirapur2007,611.8716,622.597,8.114883,0,255.3539
Shirapur,19.495,74.24,Shirapur,3226900,Maharashtra,Solapur,Mohol,2008,Shirapur2008,1440.288,1455.964,0,39.65016,101.4917
Shirapur,19.495,74.24,Shirapur,3226900,Maharashtra,Solapur,Mohol,2009,Shirapur2009,624.8514,726.4492,0.1802038,167.8813,95.71351
Shirapur,19.495,74.24,Shirapur,3226900,Maharashtra,Solapur,Mohol,2010,Shirapur2010,694.2076,818.9417,0.11476,180.1476,136.5614
Shirapur,19.495,74.24,Shirapur,3226900,Maharashtra,Solapur,Mohol,2011,Shirapur2011,435.9591,435.9591,0,44.09237,64.65119
Shirapur,19.495,74.24,Shirapur,3226900,Maharashtra,Solapur,Mohol,2012,Shirapur2012,499.739,499.739,0,123.9912,48.56722
Shirapur,19.495,74.24,Shirapur,3226900,Maharashtra,Solapur,Mohol,2013,Shirapur2013,513.9887,541.1547,8.160077,70.1637,133.9299
Shirapur,19.495,74.24,Shirapur,3226900,Maharashtra,Solapur,Mohol,2014,Shirapur2014,404.2888,533.1812,48.01524,79.39737,66.48263
